name, media_id
"Paddletales - Oklahoma Road Trips Blog",1561
"Tulsa TV Memories",1562
"WEVD-LP ABC",1567
"WCAV",1568
"The Hook News Blog  ",1569
"cVillain ",1570
"Smart Communities",1571
"WDAY",1572
"Enderlin Independent: North Dakota",1573
"KZAZ",1574
"The Northern Light",1575
"Cass County Reporter",1576
"Fargoing",1577
"KVOS",1578
"C-VILLE",1579
"The Hook",1580
"KVOX",1581
"KPUG",1582
"KFME PBS",1583
"Whatcom Watch",1584
"WBOC-TV",1585
"KXJB CBS",1586
"KMAV",1587
"Ferndale Record-Journal",1588
"The Bellingham Herald",1589
"Dover, Delaware State News",1590
"The Insider",1591
"Lynden Tribune",1592
"MegaAwesome ",1593
"Cascadia Weekly",1594
"KFGO",1595
"Fargo Metro News",1596
"KQWB",1597
"Fargo Forum",1598
"Dover Post",1599
"Fargophilia",1601
"Cavalier Daily",1602
"The Spectrum",1603
"The Bellingham Real Estate Blog",1604
"AS Review",1605
"The Bellingham Business Journal",1606
"WVIR NBC",1607
"Charlottesville Daily Progress",1608
"WINA",1609
"WDOV",1610
"http://cp2.abhost.net/suspended.page/",1611
"KGMI",1612
"The Western Front",1613
"High Plains Reader",1614
"WXCO",1615
"WSAU",1616
"Central Wisconsin News",1617
"WFXS FOX",1618
"Marshfield News-Herald",1619
"WAOW ABC",1620
"WHRM PBS",1621
"Wausau City Pages",1622
"Wausau Daily Herald",1623
"WSAW CBS",1624
"Wausaublog.Org",1625
"WKNR and WWGK",1629
"The new Sun News, Cleveland, Ohio, Home Page",1630
"Cleveland Scene",1632
"Daily Legal News",1636
"West Life",1637
"cleveland.com",1641
"WERE",1644
"WVIZ PBS",1647
"Centraldentonpreservation.org",1652
"Dallas Air America",1659
"Danm.us",1661
"Entertainment Law",1666
"Plano Blog",1676
"The Community News",1686
"Cleburne Times-Review",1688
"Fort Worth Weekly",1692
"Fort Worth Star-Telegram",1694
"Denied:1up! Software ()",1695
"Huntsville Item",1696
"Mansfield News-Mirror",1697
"Murphy Monitor",1699
"NW Tarrant Co. Times-Record",1700
"PRINCETON HERALD",1701
"Park Cities News",1702
"Sachse News",1703
"Texas Jewish Post",1704
"Rockwall County News",1705
"Manchester Enterprise",1714
"Milan News-Leader",1715
"Saline Reporter",1716
"WCVE PBS",1717
"WCVW PBS",1718
"WHTJ PBS",1719
